COSMIC_ID,CELL_LINE_NAME,TCGA_DESC,DRUG_ID,LN_IC50,Z_SCORE
908457,NCI-H747,COREAD,1006,3.259434,0.804546
909698,RKO,COREAD,1006,-0.626141,-0.936765
908458,NCI-H716,COREAD,1006,2.488943,0.459252
907794,LS-411N,COREAD,1006,1.219456,-0.109665
907291,GP5d,COREAD,1006,-1.220558,-1.203151
1240173,MDST8,COREAD,1006,-0.795277,-1.012563
909747,SW1417,COREAD,1006,6.084632,2.070651
909761,T84,COREAD,1006,3.421941,0.877373
910905,SNU-C1,COREAD,1006,4.282997,1.263253
909755,SW837,COREAD,1006,3.880691,1.08296
1290769,CL-11,COREAD,1006,2.428779,0.43229
905939,HT-29,COREAD,1006,1.901695,0.196078
909263,RCM-1,COREAD,1006,4.832669,1.509587
905937,HCT-15,COREAD,1006,0.805468,-0.295193
924108,CaR-1,COREAD,1006,3.681881,0.993864
1789883,DiFi,COREAD,1006,1.66675,0.090788
905961,COLO-205,COREAD,1006,0.001091,-0.655673
907287,HT55,COREAD,1006,2.900842,0.643844
909757,SW948,COREAD,1006,2.147987,0.306453
917486,LS-1034,COREAD,1006,2.953769,0.667563
910554,CW-2,COREAD,1006,-0.832512,-1.02925
1660034,SNU-407,COREAD,1006,2.08488,0.278172
1240123,CCK-81,COREAD,1006,3.127819,0.745563
905936,HCT-116,COREAD,1006,-1.846616,-1.483718
905989,KM12,COREAD,1006,0.592201,-0.390768
998189,LS-180,COREAD,1006,0.854659,-0.273148
910700,C2BBe1,COREAD,1006,2.876733,0.633039
910569,COLO-320-HSR,COREAD,1006,-1.583805,-1.36594
910689,COLO-678,COREAD,1006,6.580541,2.292891
907792,LS-123,COREAD,1006,4.084088,1.174112
909751,SW48,COREAD,1007,-5.928079,-1.109391
905962,SW620,COREAD,1007,-4.274127,0.051277
909740,SNU-C2B,COREAD,1007,-3.209687,0.798251
909718,SK-CO-1,COREAD,1007,-5.769184,-0.997886
905971,HCC2998,COREAD,1007,-6.12612,-1.248367
1660035,SNU-61,COREAD,1007,-2.044622,1.61584
1674021,SNU-C5,COREAD,1007,-5.03367,-0.481736
1659928,SNU-175,COREAD,1007,-6.401451,-1.441582
909748,SW1463,COREAD,1007,-2.896343,1.018142
907790,LoVo,COREAD,1007,-5.159703,-0.57018
909746,SW1116,COREAD,1007,-2.580273,1.239945
1240124,CL-40,COREAD,1007,-4.602924,-0.179459
907795,LS-513,COREAD,1007,-4.519734,-0.121079
908457,NCI-H747,COREAD,1007,-1.487526,2.006784
909698,RKO,COREAD,1007,-5.435876,-0.763986
908458,NCI-H716,COREAD,1007,-3.550474,0.559102
907794,LS-411N,COREAD,1007,-3.518699,0.581401
907291,GP5d,COREAD,1007,-6.091278,-1.223917
1240173,MDST8,COREAD,1007,-5.73514,-0.973995
909747,SW1417,COREAD,1007,-0.573644,2.648104
909761,T84,COREAD,1007,-4.248285,0.069411
910905,SNU-C1,COREAD,1007,-1.321092,2.12358
909755,SW837,COREAD,1007,-2.614188,1.216145
1290769,CL-11,COREAD,1007,-2.658199,1.18526
905939,HT-29,COREAD,1007,-5.502029,-0.810409
909263,RCM-1,COREAD,1007,-2.385036,1.376953
905937,HCT-15,COREAD,1007,-4.486365,-0.097663
924108,CaR-1,COREAD,1007,-4.446021,-0.069351
1789883,DiFi,COREAD,1007,-4.525094,-0.124841
905961,COLO-205,COREAD,1007,-5.47869,-0.79403
907287,HT55,COREAD,1007,-3.962564,0.269917
909757,SW948,COREAD,1007,-5.201591,-0.599576
917486,LS-1034,COREAD,1007,-3.362805,0.6908
910554,CW-2,COREAD,1007,-2.385317,1.376756
1660034,SNU-407,COREAD,1007,-4.374855,-0.01941
1240123,CCK-81,COREAD,1007,-3.521416,0.579494
905936,HCT-116,COREAD,1007,-5.566564,-0.855697
905989,KM12,COREAD,1007,-5.504124,-0.811879
