"CID","MolecularFormula","MolecularWeight","CanonicalSMILES"
54761306,"C20H24N6O2S",412.500000,"CC1COCCN1C2=NC(=NC(=C2)C3(CC3)S(=N)(=O)C)C4=C5C=CNC5=NC=C4"
51039095,"C26H33N5O3",463.600000,"CC1CN(CC(N1)C)C2=CC=C(C=C2)C(=O)NC3=NNC(=C3)CCC4=CC(=CC(=C4)OC)OC"
11152667,"C17H19FN4O2S",362.400000,"C1CC(CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N"
148124,"C43H53NO14",807.900000,"CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O"
25262965,"C25H31N5O4",465.500000,"CC1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5CCOCC5C"
216239,"C21H16ClF3N4O3",464.800000,"CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F"
5494449,"C23H28N8OS",464.600000,"CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)C"
104741,"C32H47F5O3S",606.800000,"CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F"
44462760,"C23H20F3N5O2S2",519.600000,"CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F"
44631912,"C23H30N8O",434.500000,"CN(C)C(=O)C1=CC2=CN=C(N=C2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5"
84691,"Cl2H6N2Pt",300.000000,"N.N.[Cl-].[Cl-].[Pt+2]"
11634725,"C24H20Cl2FN5O2",500.300000,"CC1=CN=C(N=C1C2=CNC(=C2)C(=O)NC(CO)C3=CC(=CC=C3)Cl)NC4=C(C=C(C=C4)F)Cl"
6710780,"C46H58N4O9",811.000000,"CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O"
6253,"C9H13N3O5",243.220000,"C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O"
16720766,"C21H25N5O4S",443.500000,"C1CC2=CC=CC=C2C1NC3=C4C=CN(C4=NC=N3)C5CC(C(C5)O)COS(=O)(=O)N"
70676303,"C19H22N6O3S",414.500000,"CC1=C(SC2=C1N=C(N=C2N3CCOCC3)C4=CN=C(N=C4)N)C5(COC5)OC"
68107965,"C24H18FN3O2",399.400000,"C1=CC=C(C=C1)COC2=C(C=C(C=C2)C3=CC(=NC=C3)F)C(=O)NC4=CN=CC=C4"
68289010,"C17H15N9",345.400000,"CC(C1=CN2C=CN=C2C=C1)N3C4=NC(=CN=C4N=N3)C5=CN(N=C5)C"
